NUM_BORD,REF_CTR_BORD,ANNEE_BORD,REF_ADH_BORD,REF_ACH_BORD,DAT_BORD,NB_DOC_BORD,MONT_TOT_BORD,DEVISE_ACH,SOLDE_BORD,VALIDE_BORD,DAT_SAISIE_BORD,EMETTEUR
 197,50,2019,204,,2019-07-31,5,56618.187,,,True,2019-07-31,
01,35,2014,162,,2014-06-30,1,68844.055,,,True,,
01,39,2015,178,,2015-02-16,2,19339.701,,,True,2015-02-17,
01,40,2015,183,,2015-03-26,1,221210.692,,,True,2015-03-30,
01,46,2015,193,,2015-06-08,2,383762.639,,,True,2015-06-09,
01,48,2015,202,,2015-10-24,4,34002.645,,,True,2015-10-27,
01,50,2015,204,,2015-11-20,3,94261.332,,,True,2015-11-23,
01,51,2015,208,,2015-12-09,7,292129.08,,,True,2015-12-11,
01,52,2015,215,,2015-12-17,2,100544.8,,,True,2015-12-22,
01,53,2016,227,,2016-03-11,47,212881.748,,,True,2016-03-15,
01,54,2016,246,,2016-06-01,1,600000.0,,,True,2016-06-02,
01,55,2016,249,,2016-06-23,17,31458.751,,,True,2016-06-25,
01,62,2016,382,,2016-12-28,3,115470.198,,,True,2016-12-28,
01,63,2017,211,,2017-01-04,5,201935.247,,,True,2017-01-04,
01,64,2017,442,,2017-02-01,22,28861.409,,,True,2017-02-01,
01,65,2017,445,,2017-02-20,2,1221107.0,,,True,2017-02-21,
01,66,2017,447,,2017-02-21,32,10659.496,,,True,2017-02-21,
01,68,2017,456,,2017-03-14,18,80329.535,,,True,2017-03-14,
01,69,2017,463,,2017-03-17,5,145726.3,,,True,2017-03-17,
01,70,2017,473,,2017-04-13,2,823656.753,,,True,2017-04-14,
01,71,2017,484,,2017-04-26,2,157647.026,,,True,2017-04-26,
01,72,2017,491,,2017-05-29,1,44261.109,,,True,2017-05-29,
01,73,2017,511,,2017-06-22,22,96417.12,,,True,2017-06-22,
01,74,2017,18,,2017-09-23,1,4441016.14,,,True,2017-09-23,
01,75,2017,555,,2017-10-20,1,816300.0,,,True,2017-10-20,
01,76,2017,558,,2017-11-22,1,5706.0,,,True,2017-11-22,
01,80,2017,566,,2017-12-19,1,770000.0,,,True,2017-12-19,
01,81,2017,568,,2017-12-25,1,263333.992,,,True,2017-12-25,
01,82,2017,569,,2017-12-25,1,120757.896,,,True,2017-12-25,
01,83,2017,567,,2017-12-25,1,64363.552,,,True,2017-12-25,
01,84,2017,572,,2017-12-26,3,333081.81,,,True,2017-12-26,
01,85,2017,571,,2017-12-25,1,27912.684,,,True,2017-12-25,
01,86,2018,585,,2018-02-08,1,107941.5,,,True,2018-02-08,
01,87,2018,587,,2018-02-23,1,1785000.0,,,True,2018-02-23,
01,88,2018,588,,2018-03-13,1,159470.002,,,True,2018-03-13,
01,90,2018,591,,2018-05-05,78,4040411.364,,,True,2018-05-05,
01,91,2018,678,,2018-06-27,7,103028.09,,,True,2018-06-27,
01,92,2018,679,,2018-06-27,7,67456.713,,,True,2018-06-27,
01,94,2018,685,,2018-07-09,1,13732.605,,,True,2018-07-09,
01,95,2018,686,,2018-07-12,3,7010.016,,,True,2018-07-12,
01,96,2018,45,,2018-10-04,189,2241326.634,,,True,2018-10-04,
01,97,2018,812,,2018-10-19,2,66885.746,,,True,2018-10-19,
01,98,2018,824,,2018-11-02,1,60000.0,,,True,2018-11-02,
01,99,2018,825,,2018-11-05,1,36418.527,,,True,2018-11-05,
01,100,2018,842,,2018-11-13,2,128489.35,,,True,2018-11-13,
01,101,2018,539,,2018-12-13,1,120000.0,,,True,2018-12-13,
01,102,2019,873,,2019-01-04,1,1200000.0,,,True,2019-01-04,
01,103,2019,881,,2019-01-28,1,8000.0,,,True,2019-01-28,
01,104,2019,882,,2019-01-28,2,131249.863,,,True,2019-01-28,
01,105,2019,978,,2019-02-27,1,94000.0,,,True,2019-02-27,
01,107,2019,980,,2019-03-05,3,213382.809,,,True,2019-03-05,
01,108,2019,981,,2019-03-12,1,483523.2,,,True,2019-03-12,
01,109,2019,988,,2019-03-29,2,178352.44,,,True,2019-03-29,
01,112,2019,997,,2019-04-16,1,304095.564,,,True,2019-04-16,
01,113,2019,999,,2019-04-17,4,128866.205,,,True,2019-04-17,
01,114,2019,1001,,2019-04-17,1,58040.0,,,True,2019-04-17,
01,116,2019,1000,,2019-04-18,1,95000.0,,,True,2019-04-18,
01,120,2019,1030,,2019-08-08,8,26988.213,,,True,2019-08-08,
01,121,2019,1031,,2019-08-15,11,29015.2,,,True,2019-08-15,
01,122,2019,1045,,2019-09-02,3,175545.323,,,True,2019-09-02,
01,123,2019,1057,,2019-10-22,47,28626.123,,,True,2019-10-22,
01,125,2019,1097,,2019-12-25,4,111576.542,,,True,2019-12-25,
01,126,2020,1136,,2020-02-17,15,48551.153,,,True,2020-02-17,
01,127,2020,320,,2020-03-05,1,8167384.286,,,True,2020-03-05,
01,128,2020,1159,,2020-03-10,1,95327.734,,,True,2020-03-10,
01,1128,2020,2176,,2020-06-09,2,49622.07,,,True,2020-06-09,
01,1129,2020,2177,,2020-06-12,2,54418.189,,,True,2020-06-12,
01,1130,2020,2179,,2020-06-16,37,310390.2,,,True,2020-06-16,
01,2127,2020,3158,,2020-06-30,2,310000.0,,,True,2020-06-30,
01,2128,2020,3171,,2020-07-15,1,350000.0,,,True,2020-07-15,
01,2129,2020,3181,,2020-07-24,1,25346.006,,,True,2020-07-24,
