REF_CTR,STATUT_CTR,REF_CTR_PAPIER_CTR,SERVICE_CTR,TYP_CTR,DAT_SIGN_CTR,DAT_DEB_CTR,DAT_RESIL_CTR,DAT_PROCH_VERS_CTR,CA_CTR,CA_EXP_CTR,CA_IMP_CTR,LIM_FIN_CTR,DEVISE_CTR,NB_ACH_PREVU_CTR,NB_FACT_PREVU_CTR,NB_AVOIRS_PREVU_CTR,NB_REMISES_PREVU_CTR,DELAI_MOYEN_REG_CTR,DELAI_MAX_REG_CTR,FACT_REG_CTR,DERN_MONT_DISP_2,MIN_COMM_FACT
8,V    ,001/2014,,0    ,2014-04-01,2014-04-01,,,0.0,0.0,0.0,0.0,TND,0,0,0,0,0,0.0,True,0.0,
9,A    ,001/2014,,0    ,2014-01-27,2014-01-27,2014-02-11,2014-02-11,4000000.0,0.0,4000000.0,0.0,TND,90,90,0,90,120,120.0,True,0.0,
10,V    ,002/2014,,0    ,2014-01-27,2014-01-27,2014-02-11,2014-02-11,5000000.0,0.0,5000000.0,2252585.3,TND,10,90,0,90,90,120.0,True,0.0,
11,V    ,004/2014,,0    ,2014-01-27,2014-01-27,2014-02-12,2014-02-12,1500000.0,0.0,1500000.0,94055.0,TND,50,80,0,0,120,120.0,True,0.0,
18,V    ,003/2013,,0    ,2014-02-12,2014-02-12,2014-02-12,2014-02-12,256648.412,0.0,256648.412,256648.412,TND,10,30,0,0,90,90.0,True,0.0,
19,V    ,005/2014,,0    ,2014-02-12,2014-02-12,2014-02-12,2014-02-12,1000000.0,0.0,1000000.0,135566.736,TND,50,50,0,0,90,90.0,True,0.0,
20,V    ,006/2014,,0    ,2014-01-27,2014-01-27,2014-02-12,2014-02-12,200000.0,0.0,200000.0,30469.027,TND,60,50,0,0,120,120.0,True,0.0,
21,V    ,003/2014,,0    ,2014-02-13,2014-02-13,2014-02-13,2014-02-13,35000000.0,0.0,35000000.0,2000000.0,TND,90,150,0,0,120,120.0,True,0.0,
22,V    ,007/2014,,0    ,2014-02-13,2014-02-13,2014-02-13,2014-02-13,4100000.0,0.0,4100000.0,4100000.0,TND,90,90,10,192,45,50.0,True,0.0,
23,V    ,,,0    ,2012-05-15,2014-02-27,2014-02-27,2014-02-27,22000.0,0.0,22000.0,22000.0,TND,2,2,0,0,90,90.0,True,0.0,
24,V    ,,,0    ,2011-07-21,2014-02-27,2011-07-21,2014-02-27,0.0,0.0,0.0,0.0,TND,0,0,0,0,0,0.0,True,0.0,
