ID_HISTORIQUE,DATE_ACTION,ACTION,T_TABLE,ID_ENREGISTREMENT,LOGIN_USER,IP_PC,NOM_PC,REF_CTR_HIST,REF_IND_HIST,ABREV_ROLE_HIST,ID_HISTORIQUEE
0,2019-11-01,Ajout,TR_TMM,198,1,192.168.49.151,SRVXFACTORWEB,,,,3
0,2019-11-22,Modification,T_DET_BORD,31004,30,192.168.49.151,SRVXFACTORWEB,95,975,,4
0,2019-11-22,Modification,TJ_DOCUMENT_DET_BORD,10955,30,192.168.49.151,SRVXFACTORWEB,95,,,5
0,2019-11-22,Modification,T_DET_BORD,31005,30,192.168.49.151,SRVXFACTORWEB,95,975,,6
0,2019-11-22,Modification,TJ_DOCUMENT_DET_BORD,10956,30,192.168.49.151,SRVXFACTORWEB,95,,,7
0,2019-11-26,Modification,T_DET_BORD,30330,30,192.168.49.151,SRVXFACTORWEB,45,30,,8
0,2019-11-26,Modification,TJ_DOCUMENT_DET_BORD,10238,30,192.168.49.151,SRVXFACTORWEB,45,,,9
0,2019-12-02,Ajout,TR_TMM,266,1,192.168.49.151,SRVXFACTORWEB,,,,10
0,2020-01-03,Ajout,TR_TMM,267,1,192.168.49.151,SRVXFACTORWEB,,,,11
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,11574,azzouz,10.2.115.10,10.2.115.10,64,12,Réconsiliation 64,12
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,11688,azzouz,10.2.115.10,10.2.115.10,100,1052,Réconsiliation 100,13
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,11691,azzouz,10.2.115.10,10.2.115.10,50,1029,Réconsiliation 50,14
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,10780,azzouz,10.2.115.10,10.2.115.10,42,32,Réconsiliation 42,15
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,11519,azzouz,10.2.115.10,10.2.115.10,48,59,Réconsiliation 48,16
0,2020-01-13,Réconsiliation,TJ_LETTRAGE,12012,azzouz,10.2.115.10,10.2.115.10,50,125,Réconsiliation 50,17
0,2020-01-15,Creation Encaissement,T_ENCAISSEMENT,12210,cyrine,10.2.115.20,10.2.115.20,49,1096,Creation Encaissement 0789710,18
0,2020-01-15,Creation Encaissement,T_ENCAISSEMENT,12211,cyrine,10.2.115.20,10.2.115.20,98,250,Creation Encaissement 2282778,19
0,2020-01-15,Creation Encaissement,T_ENCAISSEMENT,12212,cyrine,10.2.115.20,10.2.115.20,48,12,Creation Encaissement 0109616,20
0,2020-01-15,Numérisation_des_documents,T_DOC_GED,11573,cyrine,10.2.115.20,10.2.115.20,48,202,Numérisation_des_documents0109616,21
0,2020-01-15,Numérisation_des_documents,T_DOC_GED,11572,cyrine,10.2.115.20,10.2.115.20,98,824,Numérisation_des_documents2282778,22
0,2020-01-15,Numérisation_des_documents,T_DOC_GED,11571,cyrine,10.2.115.20,10.2.115.20,49,203,Numérisation_des_documents0789710,23
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,12074,azzouz,10.2.115.10,10.2.115.10,57,856,Réconsiliation 57,24
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,12126,azzouz,10.2.115.10,10.2.115.10,57,663,Réconsiliation 57,25
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,12132,azzouz,10.2.115.10,10.2.115.10,57,731,Réconsiliation 57,26
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,11740,azzouz,10.2.115.10,10.2.115.10,57,361,Réconsiliation 57,27
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,11402,azzouz,10.2.115.10,10.2.115.10,95,695,Réconsiliation 95,28
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,11393,azzouz,10.2.115.10,10.2.115.10,95,737,Réconsiliation 95,29
0,2020-01-15,Réconsiliation,TJ_LETTRAGE,11625,azzouz,10.2.115.10,10.2.115.10,57,361,Réconsiliation 57,30
