ID_IMP,ID_ENC_IMP,ID_DET_BORD_IMP,DATE_IMP,DATE_SAISI_IMP,MONT_IMP,DATE_RESOL_IMP,ID_NV_ENCS,IS_RESOLU
1,320,,2014-12-05,2014-12-19,14775.0,,,
3,947,,2014-12-03,2014-12-27,5000.0,,,
5,837,,2014-12-25,2014-12-31,5000.0,,,
6,836,,2014-12-26,2015-01-06,28449.75,,,
7,976,,2015-01-10,2015-02-06,10757.0,,,
8,980,,2015-01-10,2015-02-06,5000.0,,,
9,835,,2015-01-10,2015-02-06,5000.0,,,
10,987,,2015-01-10,2015-02-06,10757.0,,,
11,991,,2015-01-10,2015-02-06,5000.0,,,
12,1049,,2015-04-15,2015-04-27,43000.0,,,
13,1456,,2015-07-31,2015-07-31,6250.0,,,
14,1405,,2015-06-25,2015-07-31,2000.0,,,
15,1458,,2015-08-25,2015-08-31,6250.0,,,
16,1459,,2015-09-28,2015-10-01,6250.0,,,
17,1404,,2015-10-05,2015-10-22,40736.958,,,
18,1916,,2015-12-31,2016-02-09,23000.0,,,
19,1917,,2015-12-31,2016-02-09,23000.0,,,
21,2033,,2016-03-22,2016-03-22,14819.817,,,
22,2215,,2016-04-01,2016-04-05,22500.0,,,
23,1921,,2016-04-14,2016-04-21,34890.82,,,
24,2313,,2016-04-02,2016-05-04,10000.0,,,
25,2063,,2016-04-29,2016-05-12,23810.37,,,
26,2131,,2016-05-04,2016-05-12,15380.536,,,
27,1417,,2016-06-03,2016-06-03,1000.0,,,
29,2277,,2016-08-10,2016-08-17,10000.0,,,
30,2346,,2016-08-10,2016-08-24,10000.0,,,
31,2348,,2016-08-15,2016-08-30,6200.0,,,
32,1906,,2016-06-15,2016-08-31,6600.0,,,
33,1907,,2016-06-15,2016-08-31,8585.986,,,
34,2517,,2016-08-31,2016-08-31,5850.735,,,
35,2230,,2016-06-15,2016-09-01,22000.0,,,
37,2232,,2016-08-15,2016-09-01,22000.0,,,
38,2229,,2016-06-28,2016-09-01,22000.0,,,
39,2431,,2016-08-23,2016-09-02,3201.892,,,
40,2231,,2016-07-22,2016-09-08,22000.0,,,
41,1407,,2016-10-24,2016-10-24,2000.0,,,
42,1408,,2016-10-24,2016-10-24,2000.0,,,
43,2518,,2016-10-24,2016-10-24,5850.735,,,
44,2520,,2016-10-24,2016-10-24,5850.735,,,
45,2522,,2016-10-24,2016-10-24,25000.0,,,
46,2350,,2016-10-24,2016-10-24,6100.0,,,
47,2237,,2016-10-24,2016-10-24,6500.0,,,
48,2238,,2016-10-24,2016-10-24,6500.0,,,
49,2200,,2016-10-24,2016-10-24,50000.0,,,
50,2201,,2016-10-24,2016-10-24,50000.0,,,
51,2202,,2016-10-24,2016-10-24,21175.746,,,
52,2073,,2016-10-22,2016-10-31,20000.0,,,
53,2833,,2016-11-21,2016-11-21,1880.0,,,
54,2577,,2016-12-22,2016-12-22,25000.0,,,
55,3417,,2017-02-25,2017-02-01,1500.0,,,
56,3163,,2017-02-07,2017-02-07,1447.124,,,
57,2740,,2017-02-07,2017-02-07,10000.0,,,
58,3304,,2017-02-07,2017-02-07,4384.749,,,
59,3176,,2017-02-07,2017-02-07,3095.0,,,
60,3110,,2017-02-07,2017-02-07,2500.0,,,
61,2806,,2017-02-07,2017-02-07,2836.281,,,
62,3156,,2017-02-13,2017-02-13,1428.873,,,
64,3305,,2017-02-18,2017-02-18,5656.632,,,
66,2980,,2017-02-20,2017-02-20,5622.538,,,
69,3501,,2017-03-13,2017-03-13,1393.243,,,
71,3280,,2017-03-17,2017-03-17,7308.0,,,
