ID_DET_BORD,REF_CTR_DET_BORD,ANNEE_BORD,NUM_BORD,TYP_DET_BORD,NUM_CREANCE_ASS_BORD,TYP_ASS_DET_BORD,DAT_DET_BORD,MONT_TTC_DET_BORD,DEVISE_DET_BORD,ECH_DET_BORD,ECH_APR_PROROG_DET_BORD,MONT_OUV_DET_BORD,DELAI_PAIE_DET_BORD,MODE_REG_DET_BORD,TYP_REG_DET_BORD,TX_FDG_DET_BORD,TX_COMM_FACT_DET_BORD,ANNUL_DET_BORD,VALIDE_DET_BORD,REF_IND_DET_BORD,MONT_FDG_DET_BORD,MONT_FDG_LIBERE_DET_BORD,MONT_COMM_FACT_DET_BORD,TX_TVA_COMM_FACT_DET_BORD,MONT_TVA_COMM_FACT_DET_BORD,MONT_TTC_COMM_FACT_DET_BORD,ID_CALC_DISPO_DET_BORD,REF_DET_BORD,COMM_DET_BORD,RETENU_DET_BORD
1,26,2014,29,fact ,1,,2014-03-28,258518.4,TND,120.0,,0.0,,T    ,,0.0,1.5,False,True,31,0.0,0.0,3877.776,0.18,698.0,4575.776,,,,0.0
10,9,2014,26,fact ,10,,2014-03-29,12369.899,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,30,0.0,0.0,185.548,0.0,0.0,185.548,,,,0.0
101,9,2014,10,fact ,101,,2014-02-06,48570.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,728.55,0.0,0.0,728.55,,,,
1010,21,2014,10,fact ,1010,,2014-02-17,5148.976,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,124,0.0,0.0,51.49,0.0,0.0,51.49,,,,0.0
1011,21,2014,10,fact ,1011,,2014-02-17,37005.79,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,125,0.0,0.0,370.058,0.0,0.0,370.058,,,,0.0
1012,21,2014,10,fact ,1012,,2014-02-17,9087.875,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,125,0.0,0.0,90.879,0.0,0.0,90.879,,,,0.0
102,9,2014,10,fact ,102,,2014-02-13,48570.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,728.55,0.0,0.0,728.55,,,Date de li,
103,9,2014,10,fact ,103,,2014-02-20,48570.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,728.55,0.0,0.0,728.55,,,,
104,9,2014,10,fact ,104,,2014-02-27,48571.302,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,728.57,0.0,0.0,728.57,,,,
105,21,2014,10,fact ,105,,2014-02-17,11322.5,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,98,0.0,0.0,113.225,0.0,0.0,113.225,,,,0.0
106,21,2014,10,fact ,106,,2014-02-17,5518.434,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,124,0.0,0.0,55.184,0.0,0.0,55.184,,,,0.0
107,21,2014,10,fact ,107,,2014-02-17,7032.02,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,100,0.0,0.0,70.32,0.0,0.0,70.32,,,,
108,21,2014,10,fact ,108,,2014-02-17,17519.86,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,113,0.0,0.0,175.199,0.0,0.0,175.199,,,,0.0
109,21,2014,10,fact ,109,,2014-02-17,21238.276,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,97,0.0,0.0,212.383,0.0,0.0,212.383,,,,0.0
11,9,2014,26,fact ,11,,2014-02-10,69085.185,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,30,0.0,0.0,1036.278,0.0,0.0,1036.278,,,,0.0
111,21,2014,11,fact ,111,,2014-02-17,114889.92,TND,227.0,,0.0,,C    ,,20.0,1.0,False,True,125,0.0,9269.229,1148.899,0.0,0.0,1148.899,,,,0.0
112,9,2014,11,fact ,112,,2014-02-25,67258.1,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,1008.872,0.0,0.0,1008.872,,,,
12,22,2014,1,fact ,12,,2012-05-23,8758.8,TND,0.0,,0.0,,C    ,,0.0,0.0,False,True,37,0.0,0.0,0.0,0.0,0.0,0.0,,,,131.382
121,22,2014,12,fact ,121,,2012-11-05,423.34,TND,0.0,,0.0,,C    ,,0.0,0.0,False,True,51,0.0,0.0,0.0,0.0,0.0,0.0,,,,
122,9,2014,12,fact ,122,,2014-04-11,50000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,750.0,0.0,0.0,750.0,,,,0.0
123,9,2014,12,fact ,123,,2014-04-18,50000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,750.0,0.0,0.0,750.0,,,,
124,9,2014,12,fact ,124,,2014-04-25,55157.658,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,827.365,0.0,0.0,827.365,,,,
125,9,2014,12,fact ,125,,2014-03-05,38000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,570.0,0.0,0.0,570.0,,,,
126,9,2014,12,fact ,126,,2014-03-12,38000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,570.0,0.0,0.0,570.0,,,,
127,9,2014,12,fact ,127,,2014-03-19,38000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,570.0,0.0,0.0,570.0,,,,
128,9,2014,12,fact ,128,,2014-03-26,39624.881,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,594.373,0.0,0.0,594.373,,,,
13,18,2014,1,fact ,13,,2014-03-01,89590.48,TND,0.0,,0.0,,C    ,,0.0,0.0,False,True,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,
131,9,2014,13,fact ,131,,2014-03-19,40000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,600.0,0.0,0.0,600.0,,,,0.0
1311,21,2014,13,fact ,131,,2014-02-17,11052.95,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,88,0.0,0.0,110.53,0.0,0.0,110.53,,,,0.0
132,9,2014,13,fact ,132,,2014-03-20,40000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,31,0.0,0.0,600.0,0.0,0.0,600.0,,,,0.0
1321,21,2014,13,fact ,132,,2014-02-17,5618.009,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,95,0.0,0.0,56.18,0.0,0.0,56.18,,,,
133,9,2014,13,fact ,133,,2014-02-07,50000.0,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,750.0,0.0,0.0,750.0,,,,
1331,21,2014,13,fact ,133,,2014-02-17,6489.751,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,127,0.0,0.0,64.898,0.0,0.0,64.898,,,,0.0
134,9,2014,13,fact ,134,,2014-03-06,51483.452,TND,0.0,,0.0,,C    ,,0.0,1.5,False,True,32,0.0,0.0,772.252,0.0,0.0,772.252,,,,
1341,21,2014,13,fact ,134,,2014-02-17,5806.135,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,134,0.0,0.0,58.061,0.0,0.0,58.061,,,,
135,21,2014,13,fact ,135,,2014-02-17,10595.568,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,142,0.0,0.0,105.956,0.0,0.0,105.956,,,,
136,21,2014,13,fact ,136,,2014-02-17,7060.918,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,109,0.0,0.0,70.609,0.0,0.0,70.609,,,,0.0
137,21,2014,13,fact ,137,,2014-02-17,6999.961,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,134,0.0,0.0,70.0,0.0,0.0,70.0,,,,
138,21,2014,13,fact ,138,,2014-02-17,26053.214,TND,0.0,,0.0,,C    ,,20.0,1.0,False,True,112,0.0,0.0,260.532,0.0,0.0,260.532,,,,0.0
14,22,2014,1,fact ,14,,2012-05-14,1049.3,TND,0.0,,0.0,,C    ,,0.0,0.0,False,True,61,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
14032,25,2014,27,fact ,14032,,2014-02-01,112680.4,TND,120.0,,0.0,,C    ,,0.0,1.5,False,True,29,0.0,0.0,1690.206,0.18,304.237,1994.443,,,,
14033,25,2014,27,fact ,14033,,2014-02-01,121272.4,TND,120.0,,0.0,,T    ,,0.0,1.5,False,True,28,0.0,0.0,1819.086,0.18,327.435,2146.521,,,,
